"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 10287"
"Start Time: 1/28/2020 12:35:42.710 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:35:42.710 PM","1.08553"
"1","1/28/2020 12:35:42.711 PM","1.08529"
"2","1/28/2020 12:35:42.712 PM","1.08406"
"3","1/28/2020 12:35:42.713 PM","1.08515"
"4","1/28/2020 12:35:42.714 PM","1.08387"
"5","1/28/2020 12:35:42.715 PM","1.08501"
"6","1/28/2020 12:35:42.716 PM","1.08378"
"7","1/28/2020 12:35:42.717 PM","1.08368"
"8","1/28/2020 12:35:42.718 PM","1.08469"
"9","1/28/2020 12:35:42.719 PM","1.08461"
"10","1/28/2020 12:35:42.720 PM","1.08414"
"11","1/28/2020 12:35:42.721 PM","1.08467"
"12","1/28/2020 12:35:42.722 PM","1.08514"
"13","1/28/2020 12:35:42.723 PM","1.08449"
"14","1/28/2020 12:35:42.724 PM","1.08408"
"15","1/28/2020 12:35:42.725 PM","1.08522"
"16","1/28/2020 12:35:42.726 PM","1.08454"
"17","1/28/2020 12:35:42.727 PM","1.08452"
"18","1/28/2020 12:35:42.728 PM","1.08619"
"19","1/28/2020 12:35:42.729 PM","1.08484"
"20","1/28/2020 12:35:42.730 PM","1.08479"
"21","1/28/2020 12:35:42.731 PM","1.08668"
"22","1/28/2020 12:35:42.732 PM","1.08485"
"23","1/28/2020 12:35:42.733 PM","1.08410"
"24","1/28/2020 12:35:42.734 PM","1.08449"
"25","1/28/2020 12:35:42.735 PM","1.08515"
"26","1/28/2020 12:35:42.736 PM","1.08440"
"27","1/28/2020 12:35:42.737 PM","1.08540"
"28","1/28/2020 12:35:42.738 PM","1.08514"
"29","1/28/2020 12:35:42.739 PM","1.08364"
"30","1/28/2020 12:35:42.740 PM","1.08493"
"31","1/28/2020 12:35:42.741 PM","1.08560"
"32","1/28/2020 12:35:42.742 PM","1.08456"
"33","1/28/2020 12:35:42.743 PM","1.08540"
"34","1/28/2020 12:35:42.744 PM","1.08673"
"35","1/28/2020 12:35:42.745 PM","1.08411"
"36","1/28/2020 12:35:42.746 PM","1.08463"
"37","1/28/2020 12:35:42.747 PM","1.08399"
"38","1/28/2020 12:35:42.748 PM","1.08395"
"39","1/28/2020 12:35:42.749 PM","1.08515"
"40","1/28/2020 12:35:42.750 PM","1.08475"
"41","1/28/2020 12:35:42.751 PM","1.08385"
"42","1/28/2020 12:35:42.752 PM","1.08387"
"43","1/28/2020 12:35:42.753 PM","1.08496"
"44","1/28/2020 12:35:42.754 PM","1.08425"
"45","1/28/2020 12:35:42.755 PM","1.08521"
"46","1/28/2020 12:35:42.756 PM","1.08401"
"47","1/28/2020 12:35:42.757 PM","1.08454"
"48","1/28/2020 12:35:42.758 PM","1.08498"
"49","1/28/2020 12:35:42.759 PM","1.08361"
"50","1/28/2020 12:35:42.760 PM","1.08583"
"51","1/28/2020 12:35:42.761 PM","1.08401"
"52","1/28/2020 12:35:42.762 PM","1.08429"
"53","1/28/2020 12:35:42.763 PM","1.08488"
"54","1/28/2020 12:35:42.764 PM","1.08613"
"55","1/28/2020 12:35:42.765 PM","1.08408"
"56","1/28/2020 12:35:42.766 PM","1.08339"
"57","1/28/2020 12:35:42.767 PM","1.08576"
"58","1/28/2020 12:35:42.768 PM","1.08338"
"59","1/28/2020 12:35:42.769 PM","1.08459"
"60","1/28/2020 12:35:42.770 PM","1.08445"
"61","1/28/2020 12:35:42.771 PM","1.08417"
"62","1/28/2020 12:35:42.772 PM","1.08509"
"63","1/28/2020 12:35:42.773 PM","1.08523"
"64","1/28/2020 12:35:42.774 PM","1.08408"
"65","1/28/2020 12:35:42.775 PM","1.08305"
"66","1/28/2020 12:35:42.776 PM","1.08541"
"67","1/28/2020 12:35:42.777 PM","1.08539"
"68","1/28/2020 12:35:42.778 PM","1.08502"
"69","1/28/2020 12:35:42.779 PM","1.08538"
"70","1/28/2020 12:35:42.780 PM","1.08595"
"71","1/28/2020 12:35:42.781 PM","1.08428"
"72","1/28/2020 12:35:42.782 PM","1.08414"
"73","1/28/2020 12:35:42.783 PM","1.08648"
"74","1/28/2020 12:35:42.784 PM","1.08453"
"75","1/28/2020 12:35:42.785 PM","1.08420"
"76","1/28/2020 12:35:42.786 PM","1.08458"
"77","1/28/2020 12:35:42.787 PM","1.08358"
"78","1/28/2020 12:35:42.788 PM","1.08325"
"79","1/28/2020 12:35:42.789 PM","1.08550"
"80","1/28/2020 12:35:42.790 PM","1.08413"
"81","1/28/2020 12:35:42.791 PM","1.08550"
"82","1/28/2020 12:35:42.792 PM","1.08598"
"83","1/28/2020 12:35:42.793 PM","1.08505"
"84","1/28/2020 12:35:42.794 PM","1.08665"
"85","1/28/2020 12:35:42.795 PM","1.08610"
"86","1/28/2020 12:35:42.796 PM","1.08581"
"87","1/28/2020 12:35:42.797 PM","1.08518"
"88","1/28/2020 12:35:42.798 PM","1.08582"
"89","1/28/2020 12:35:42.799 PM","1.08600"
"90","1/28/2020 12:35:42.800 PM","1.08667"
"91","1/28/2020 12:35:42.801 PM","1.08358"
"92","1/28/2020 12:35:42.802 PM","1.08512"
"93","1/28/2020 12:35:42.803 PM","1.08610"
"94","1/28/2020 12:35:42.804 PM","1.08612"
"95","1/28/2020 12:35:42.805 PM","1.08498"
"96","1/28/2020 12:35:42.806 PM","1.08547"
"97","1/28/2020 12:35:42.807 PM","1.08570"
"98","1/28/2020 12:35:42.808 PM","1.08687"
"99","1/28/2020 12:35:42.809 PM","1.08615"
"100","1/28/2020 12:35:42.810 PM","1.08692"
"101","1/28/2020 12:35:42.811 PM","1.08561"
"102","1/28/2020 12:35:42.812 PM","1.08440"
"103","1/28/2020 12:35:42.813 PM","1.08427"
"104","1/28/2020 12:35:42.814 PM","1.08602"
"105","1/28/2020 12:35:42.815 PM","1.08373"
"106","1/28/2020 12:35:42.816 PM","1.08412"
"107","1/28/2020 12:35:42.817 PM","1.08475"
"108","1/28/2020 12:35:42.818 PM","1.08453"
"109","1/28/2020 12:35:42.819 PM","1.08463"
"110","1/28/2020 12:35:42.820 PM","1.08329"
"111","1/28/2020 12:35:42.821 PM","1.08496"
"112","1/28/2020 12:35:42.822 PM","1.08555"
"113","1/28/2020 12:35:42.823 PM","1.08539"
"114","1/28/2020 12:35:42.824 PM","1.08517"
"115","1/28/2020 12:35:42.825 PM","1.08662"
"116","1/28/2020 12:35:42.826 PM","1.08458"
"117","1/28/2020 12:35:42.827 PM","1.08510"
"118","1/28/2020 12:35:42.828 PM","1.08600"
"119","1/28/2020 12:35:42.829 PM","1.08590"
"120","1/28/2020 12:35:42.830 PM","1.08439"
"121","1/28/2020 12:35:42.831 PM","1.08465"
"122","1/28/2020 12:35:42.832 PM","1.08694"
"123","1/28/2020 12:35:42.833 PM","1.08299"
"124","1/28/2020 12:35:42.834 PM","1.08566"
"125","1/28/2020 12:35:42.835 PM","1.08479"
"126","1/28/2020 12:35:42.836 PM","1.08493"
"127","1/28/2020 12:35:42.837 PM","1.08500"
"128","1/28/2020 12:35:42.838 PM","1.08523"
"129","1/28/2020 12:35:42.839 PM","1.08436"
"130","1/28/2020 12:35:42.840 PM","1.08592"
"131","1/28/2020 12:35:42.841 PM","1.08715"
"132","1/28/2020 12:35:42.842 PM","1.08412"
