"Device: USB-2408-2AO"
"Serial Number: 1C3CD1D"
"Channel Count: 1"
"Sample Count: 2703"
"Start Time: 1/28/2020 12:44:22.566 PM"
"Scan Rate: 1000"
"Sample","Date/Time","AI4 (mV)"
"0","1/28/2020 12:44:22.566 PM","0.21196"
"1","1/28/2020 12:44:22.567 PM","0.21391"
"2","1/28/2020 12:44:22.568 PM","0.21472"
"3","1/28/2020 12:44:22.569 PM","0.21425"
"4","1/28/2020 12:44:22.570 PM","0.21270"
"5","1/28/2020 12:44:22.571 PM","0.21303"
"6","1/28/2020 12:44:22.572 PM","0.21418"
"7","1/28/2020 12:44:22.573 PM","0.21545"
"8","1/28/2020 12:44:22.574 PM","0.21363"
"9","1/28/2020 12:44:22.575 PM","0.21438"
"10","1/28/2020 12:44:22.576 PM","0.21523"
"11","1/28/2020 12:44:22.577 PM","0.21462"
"12","1/28/2020 12:44:22.578 PM","0.21454"
"13","1/28/2020 12:44:22.579 PM","0.21386"
"14","1/28/2020 12:44:22.580 PM","0.21414"
"15","1/28/2020 12:44:22.581 PM","0.21342"
"16","1/28/2020 12:44:22.582 PM","0.21333"
"17","1/28/2020 12:44:22.583 PM","0.21354"
"18","1/28/2020 12:44:22.584 PM","0.21263"
"19","1/28/2020 12:44:22.585 PM","0.21286"
"20","1/28/2020 12:44:22.586 PM","0.21366"
"21","1/28/2020 12:44:22.587 PM","0.21446"
"22","1/28/2020 12:44:22.588 PM","0.21339"
"23","1/28/2020 12:44:22.589 PM","0.21325"
"24","1/28/2020 12:44:22.590 PM","0.21441"
"25","1/28/2020 12:44:22.591 PM","0.21383"
"26","1/28/2020 12:44:22.592 PM","0.21506"
"27","1/28/2020 12:44:22.593 PM","0.21471"
"28","1/28/2020 12:44:22.594 PM","0.21469"
"29","1/28/2020 12:44:22.595 PM","0.21273"
"30","1/28/2020 12:44:22.596 PM","0.21513"
"31","1/28/2020 12:44:22.597 PM","0.21505"
"32","1/28/2020 12:44:22.598 PM","0.21396"
"33","1/28/2020 12:44:22.599 PM","0.21309"
"34","1/28/2020 12:44:22.600 PM","0.21443"
"35","1/28/2020 12:44:22.601 PM","0.21242"
"36","1/28/2020 12:44:22.602 PM","0.21264"
"37","1/28/2020 12:44:22.603 PM","0.21259"
"38","1/28/2020 12:44:22.604 PM","0.21175"
"39","1/28/2020 12:44:22.605 PM","0.21388"
"40","1/28/2020 12:44:22.606 PM","0.21350"
"41","1/28/2020 12:44:22.607 PM","0.21342"
"42","1/28/2020 12:44:22.608 PM","0.21477"
"43","1/28/2020 12:44:22.609 PM","0.21410"
"44","1/28/2020 12:44:22.610 PM","0.21327"
"45","1/28/2020 12:44:22.611 PM","0.21339"
"46","1/28/2020 12:44:22.612 PM","0.21289"
"47","1/28/2020 12:44:22.613 PM","0.21257"
"48","1/28/2020 12:44:22.614 PM","0.21525"
"49","1/28/2020 12:44:22.615 PM","0.21344"
"50","1/28/2020 12:44:22.616 PM","0.21311"
"51","1/28/2020 12:44:22.617 PM","0.21443"
"52","1/28/2020 12:44:22.618 PM","0.21464"
"53","1/28/2020 12:44:22.619 PM","0.21266"
"54","1/28/2020 12:44:22.620 PM","0.21418"
"55","1/28/2020 12:44:22.621 PM","0.21274"
"56","1/28/2020 12:44:22.622 PM","0.21418"
"57","1/28/2020 12:44:22.623 PM","0.21268"
"58","1/28/2020 12:44:22.624 PM","0.21473"
"59","1/28/2020 12:44:22.625 PM","0.21410"
"60","1/28/2020 12:44:22.626 PM","0.21295"
"61","1/28/2020 12:44:22.627 PM","0.21457"
"62","1/28/2020 12:44:22.628 PM","0.21262"
"63","1/28/2020 12:44:22.629 PM","0.21466"
"64","1/28/2020 12:44:22.630 PM","0.21459"
"65","1/28/2020 12:44:22.631 PM","0.21355"
"66","1/28/2020 12:44:22.632 PM","0.21284"
"67","1/28/2020 12:44:22.633 PM","0.21321"
"68","1/28/2020 12:44:22.634 PM","0.21427"
"69","1/28/2020 12:44:22.635 PM","0.21445"
"70","1/28/2020 12:44:22.636 PM","0.21341"
"71","1/28/2020 12:44:22.637 PM","0.21296"
"72","1/28/2020 12:44:22.638 PM","0.21315"
"73","1/28/2020 12:44:22.639 PM","0.21321"
"74","1/28/2020 12:44:22.640 PM","0.21458"
"75","1/28/2020 12:44:22.641 PM","0.21316"
"76","1/28/2020 12:44:22.642 PM","0.21481"
"77","1/28/2020 12:44:22.643 PM","0.21403"
"78","1/28/2020 12:44:22.644 PM","0.21412"
"79","1/28/2020 12:44:22.645 PM","0.21400"
"80","1/28/2020 12:44:22.646 PM","0.21307"
"81","1/28/2020 12:44:22.647 PM","0.21384"
"82","1/28/2020 12:44:22.648 PM","0.21283"
"83","1/28/2020 12:44:22.649 PM","0.21342"
"84","1/28/2020 12:44:22.650 PM","0.21315"
"85","1/28/2020 12:44:22.651 PM","0.21412"
"86","1/28/2020 12:44:22.652 PM","0.21115"
"87","1/28/2020 12:44:22.653 PM","0.21498"
"88","1/28/2020 12:44:22.654 PM","0.21321"
"89","1/28/2020 12:44:22.655 PM","0.21228"
"90","1/28/2020 12:44:22.656 PM","0.21513"
"91","1/28/2020 12:44:22.657 PM","0.21432"
"92","1/28/2020 12:44:22.658 PM","0.21361"
"93","1/28/2020 12:44:22.659 PM","0.21307"
"94","1/28/2020 12:44:22.660 PM","0.21194"
"95","1/28/2020 12:44:22.661 PM","0.21464"
"96","1/28/2020 12:44:22.662 PM","0.21317"
"97","1/28/2020 12:44:22.663 PM","0.21424"
"98","1/28/2020 12:44:22.664 PM","0.21459"
"99","1/28/2020 12:44:22.665 PM","0.21394"
"100","1/28/2020 12:44:22.666 PM","0.21318"
"101","1/28/2020 12:44:22.667 PM","0.21350"
"102","1/28/2020 12:44:22.668 PM","0.21280"
"103","1/28/2020 12:44:22.669 PM","0.21416"
"104","1/28/2020 12:44:22.670 PM","0.21305"
"105","1/28/2020 12:44:22.671 PM","0.21231"
"106","1/28/2020 12:44:22.672 PM","0.21216"
"107","1/28/2020 12:44:22.673 PM","0.21220"
"108","1/28/2020 12:44:22.674 PM","0.21419"
"109","1/28/2020 12:44:22.675 PM","0.21432"
"110","1/28/2020 12:44:22.676 PM","0.21321"
"111","1/28/2020 12:44:22.677 PM","0.21265"
"112","1/28/2020 12:44:22.678 PM","0.21373"
"113","1/28/2020 12:44:22.679 PM","0.21399"
"114","1/28/2020 12:44:22.680 PM","0.21378"
"115","1/28/2020 12:44:22.681 PM","0.21324"
"116","1/28/2020 12:44:22.682 PM","0.21288"
"117","1/28/2020 12:44:22.683 PM","0.21244"
"118","1/28/2020 12:44:22.684 PM","0.21351"
"119","1/28/2020 12:44:22.685 PM","0.21246"
"120","1/28/2020 12:44:22.686 PM","0.21273"
"121","1/28/2020 12:44:22.687 PM","0.21366"
"122","1/28/2020 12:44:22.688 PM","0.21226"
"123","1/28/2020 12:44:22.689 PM","0.21417"
"124","1/28/2020 12:44:22.690 PM","0.21362"
"125","1/28/2020 12:44:22.691 PM","0.21353"
"126","1/28/2020 12:44:22.692 PM","0.21305"
"127","1/28/2020 12:44:22.693 PM","0.21419"
"128","1/28/2020 12:44:22.694 PM","0.21442"
"129","1/28/2020 12:44:22.695 PM","0.21352"
"130","1/28/2020 12:44:22.696 PM","0.21353"
"131","1/28/2020 12:44:22.697 PM","0.21512"
"132","1/28/2020 12:44:22.698 PM","0.21243"
"133","1/28/2020 12:44:22.699 PM","0.21226"
"134","1/28/2020 12:44:22.700 PM","0.21190"
