"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 11711"
"Start Time: 2/5/2020 10:19:55.877 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","1.14236027"
"1","0.001","1.14277937"
"2","0.002","1.14196911"
"3","0.003","1.14281662"
"4","0.004","1.14136375"
"5","0.005","1.14041381"
"6","0.006","1.14295632"
"7","0.007","1.14144757"
"8","0.008","1.14289112"
"9","0.009","1.14309601"
"10","0.010","1.14283524"
"11","0.011","1.14283524"
"12","0.012","1.14256516"
"13","0.013","1.14290044"
"14","0.014","1.14209019"
"15","0.015","1.14275143"
"16","0.016","1.14176422"
"17","0.017","1.14337541"
"18","0.018","1.14244409"
"19","0.019","1.14334747"
"20","0.020","1.14399940"
"21","0.021","1.14335679"
"22","0.022","1.14359893"
"23","0.023","1.14385970"
"24","0.024","1.14312395"
"25","0.025","1.14152208"
"26","0.026","1.14241615"
"27","0.027","1.14182942"
"28","0.028","1.14278868"
"29","0.029","1.14229508"
"30","0.030","1.14331022"
"31","0.031","1.14222988"
"32","0.032","1.14316121"
"33","0.033","1.14341266"
"34","0.034","1.14307739"
"35","0.035","1.14296563"
"36","0.036","1.14330091"
"37","0.037","1.14159659"
"38","0.038","1.14348717"
"39","0.039","1.14304014"
"40","0.040","1.14453956"
"41","0.041","1.14241615"
"42","0.042","1.14313327"
"43","0.043","1.14215538"
"44","0.044","1.14317052"
"45","0.045","1.14266761"
"46","0.046","1.14195980"
"47","0.047","1.14223920"
"48","0.048","1.14302151"
"49","0.049","1.14335679"
"50","0.050","1.14277005"
"51","0.051","1.14217401"
"52","0.052","1.14179216"
"53","0.053","1.14350580"
"54","0.054","1.14209019"
"55","0.055","1.14410184"
"56","0.056","1.14139169"
"57","0.057","1.14304014"
"58","0.058","1.14222057"
"59","0.059","1.14102848"
"60","0.060","1.14135444"
"61","0.061","1.14393421"
"62","0.062","1.14254653"
"63","0.063","1.14149414"
"64","0.064","1.14280730"
"65","0.065","1.14279799"
"66","0.066","1.14438124"
"67","0.067","1.14278868"
"68","0.068","1.14265829"
"69","0.069","1.14171766"
"70","0.070","1.14257447"
"71","0.071","1.14291906"
"72","0.072","1.14194117"
"73","0.073","1.14339404"
"74","0.074","1.14250928"
"75","0.075","1.14230439"
"76","0.076","1.14175491"
"77","0.077","1.14131719"
"78","0.078","1.14200637"
"79","0.079","1.14370137"
"80","0.080","1.14265829"
"81","0.081","1.14270486"
"82","0.082","1.14339404"
"83","0.083","1.14281662"
"84","0.084","1.14337541"
"85","0.085","1.14319846"
"86","0.086","1.14133582"
"87","0.087","1.14380382"
"88","0.088","1.14232302"
"89","0.089","1.14263035"
"90","0.090","1.14177354"
"91","0.091","1.14444643"
"92","0.092","1.14257447"
"93","0.093","1.14295632"
"94","0.094","1.14138238"
"95","0.095","1.14253722"
"96","0.096","1.14141032"
"97","0.097","1.14266761"
"98","0.098","1.14167109"
"99","0.099","1.14237890"
"100","0.100","1.14418566"
"101","0.101","1.14204362"
"102","0.102","1.14143826"
"103","0.103","1.14277937"
"104","0.104","1.14231370"
"105","0.105","1.14160590"
"106","0.106","1.14250928"
"107","0.107","1.14040449"
"108","0.108","1.14359893"
"109","0.109","1.14222988"
"110","0.110","1.14206225"
"111","0.111","1.14170834"
"112","0.112","1.14221126"
"113","0.113","1.14216469"
"114","0.114","1.14180148"
"115","0.115","1.14448369"
"116","0.116","1.14328228"
"117","0.117","1.14434399"
"118","0.118","1.14332885"
"119","0.119","1.14268623"
"120","0.120","1.14160590"
"121","0.121","1.14412978"
"122","0.122","1.14211813"
"123","0.123","1.14124268"
"124","0.124","1.14238821"
"125","0.125","1.14295632"
"126","0.126","1.14236027"
"127","0.127","1.14269555"
"128","0.128","1.14355236"
"129","0.129","1.14333816"
"130","0.130","1.14291906"
"131","0.131","1.14234164"
"132","0.132","1.14389695"
"133","0.133","1.14286318"
"134","0.134","1.14277937"
"135","0.135","1.14240684"
"136","0.136","1.14286318"
"137","0.137","1.14365481"
"138","0.138","1.14292838"
"139","0.139","1.14152208"
"140","0.140","1.14453025"
"141","0.141","1.14290975"
"142","0.142","1.14261173"
"143","0.143","1.14087947"
"144","0.144","1.14169903"
"145","0.145","1.14298426"
"146","0.146","1.14131719"
"147","0.147","1.14196911"
"148","0.148","1.14402734"
"149","0.149","1.14358030"
"150","0.150","1.14259310"
"151","0.151","1.14259310"
"152","0.152","1.14197843"
"153","0.153","1.14310533"
"154","0.154","1.14308670"
"155","0.155","1.14183873"
"156","0.156","1.14307739"
"157","0.157","1.14335679"
"158","0.158","1.14167109"
"159","0.159","1.14281662"
"160","0.160","1.14253722"
"161","0.161","1.14355236"
"162","0.162","1.14368275"
"163","0.163","1.14399008"
"164","0.164","1.14199705"
"165","0.165","1.14332885"
"166","0.166","1.14332885"
"167","0.167","1.14254653"
"168","0.168","1.14400871"
"169","0.169","1.14117749"
"170","0.170","1.14329159"
"171","0.171","1.14305876"
"172","0.172","1.14297494"
"173","0.173","1.14308670"
"174","0.174","1.14212744"
"175","0.175","1.14229508"
"176","0.176","1.14290044"
"177","0.177","1.14062801"
"178","0.178","1.14208087"
"179","0.179","1.14101917"
"180","0.180","1.14209950"
"181","0.181","1.14142895"
"182","0.182","1.14323571"
"183","0.183","1.14222057"
"184","0.184","1.14345923"
"185","0.185","1.14174560"
"186","0.186","1.14141963"
"187","0.187","1.14278868"
"188","0.188","1.14306808"
"189","0.189","1.14117749"
"190","0.190","1.14192255"
"191","0.191","1.14239752"
"192","0.192","1.14318915"
"193","0.193","1.14203431"
"194","0.194","1.14060007"
"195","0.195","1.14218332"
"196","0.196","1.14328228"
"197","0.197","1.14283524"
"198","0.198","1.14198774"
"199","0.199","1.14168040"
"200","0.200","1.14152208"
"201","0.201","1.14268623"
"202","0.202","1.14296563"
"203","0.203","1.14277937"
"204","0.204","1.14293769"
"205","0.205","1.14200637"
"206","0.206","1.14265829"
"207","0.207","1.14232302"
"208","0.208","1.14372000"
"209","0.209","1.14238821"
"210","0.210","1.14204362"
"211","0.211","1.14051625"
"212","0.212","1.14073046"
"213","0.213","1.14008784"
"214","0.214","1.14332885"
"215","0.215","1.14286318"
"216","0.216","1.14087947"
"217","0.217","1.14259310"
"218","0.218","1.14158727"
"219","0.219","1.14199705"
"220","0.220","1.14334747"
"221","0.221","1.14257447"
"222","0.222","1.14168972"
"223","0.223","1.14122406"
"224","0.224","1.14135444"
"225","0.225","1.14182942"
"226","0.226","1.14234164"
"227","0.227","1.14113092"
"228","0.228","1.14281662"
"229","0.229","1.14179216"
"230","0.230","1.14321709"
"231","0.231","1.14169903"
"232","0.232","1.14221126"
"233","0.233","1.14110298"
"234","0.234","1.14222988"
"235","0.235","1.14154071"
"236","0.236","1.14244409"
"237","0.237","1.14114955"
"238","0.238","1.14321709"
"239","0.239","1.14187598"
"240","0.240","1.14182942"
"241","0.241","1.14285387"
"242","0.242","1.14222988"
"243","0.243","1.14294700"
"244","0.244","1.14322640"
"245","0.245","1.14152208"
"246","0.246","1.14187598"
"247","0.247","1.14148483"
"248","0.248","1.14208087"
"249","0.249","1.14125200"
"250","0.250","1.14249997"
"251","0.251","1.14311464"
"252","0.252","1.14248134"
"253","0.253","1.14250928"
"254","0.254","1.14347786"
"255","0.255","1.14210881"
"256","0.256","1.14209950"
"257","0.257","1.14091672"
"258","0.258","1.14032067"
"259","0.259","1.14278868"
"260","0.260","1.14128925"
"261","0.261","1.14252791"
"262","0.262","1.14304014"
"263","0.263","1.14310533"
"264","0.264","1.14243478"
"265","0.265","1.14187598"
"266","0.266","1.14281662"
"267","0.267","1.14195049"
"268","0.268","1.14195049"
"269","0.269","1.14236958"
"270","0.270","1.14421360"
"271","0.271","1.14228576"
"272","0.272","1.14276074"
"273","0.273","1.14132650"
"274","0.274","1.14123337"
"275","0.275","1.14303082"
"276","0.276","1.14138238"
"277","0.277","1.14233233"
"278","0.278","1.14118680"
"279","0.279","1.14257447"
"280","0.280","1.14167109"
"281","0.281","1.14186667"
"282","0.282","1.14150345"
"283","0.283","1.14272349"
"284","0.284","1.14325434"
"285","0.285","1.14234164"
"286","0.286","1.14237890"
"287","0.287","1.14188530"
"288","0.288","1.14135444"
"289","0.289","1.14380382"
"290","0.290","1.14210881"
"291","0.291","1.14269555"
"292","0.292","1.14233233"
"293","0.293","1.14113092"
"294","0.294","1.14248134"
"295","0.295","1.14277005"
"296","0.296","1.14212744"
"297","0.297","1.14130788"
"298","0.298","1.14087015"
"299","0.299","1.14045106"
"300","0.300","1.14060007"
"301","0.301","1.14169903"
"302","0.302","1.14192255"
"303","0.303","1.14030205"
"304","0.304","1.14114955"
"305","0.305","1.14222057"
"306","0.306","1.14198774"
"307","0.307","1.14203431"
"308","0.308","1.14111230"
"309","0.309","1.14188530"
"310","0.310","1.14175491"
"311","0.311","1.14187598"
"312","0.312","1.14102848"
"313","0.313","1.14100985"
"314","0.314","1.14137307"
"315","0.315","1.14150345"
"316","0.316","1.14077702"
"317","0.317","1.14398077"
"318","0.318","1.14169903"
"319","0.319","1.14159659"
"320","0.320","1.14015304"
"321","0.321","1.14147551"
"322","0.322","1.14132650"
"323","0.323","1.14067458"
"324","0.324","1.14211813"
"325","0.325","1.14082359"
"326","0.326","1.14256516"
"327","0.327","1.14047900"
"328","0.328","1.14123337"
"329","0.329","1.14208087"
"330","0.330","1.14122406"
"331","0.331","1.14295632"
"332","0.332","1.14236027"
"333","0.333","1.14170834"
"334","0.334","1.14274211"
"335","0.335","1.14107504"
"336","0.336","1.14112161"
"337","0.337","1.14170834"
"338","0.338","1.14089809"
"339","0.339","1.14219263"
"340","0.340","1.14104711"
"341","0.341","1.14073977"
"342","0.342","1.14305876"
"343","0.343","1.14168040"
"344","0.344","1.14004128"
"345","0.345","1.14300288"
"346","0.346","1.14137307"
"347","0.347","1.14209019"
"348","0.348","1.14175491"
"349","0.349","1.14233233"
"350","0.350","1.14150345"
"351","0.351","1.14260241"
"352","0.352","1.14253722"
"353","0.353","1.14171766"
"354","0.354","1.14104711"
"355","0.355","1.14335679"
"356","0.356","1.14178285"
"357","0.357","1.14077702"
"358","0.358","1.14176422"
"359","0.359","1.14263967"
"360","0.360","1.14096329"
"361","0.361","1.14110298"
"362","0.362","1.14270486"
"363","0.363","1.14037655"
"364","0.364","1.14078633"
"365","0.365","1.14116818"
"366","0.366","1.14065595"
"367","0.367","1.14188530"
"368","0.368","1.14259310"
"369","0.369","1.14221126"
"370","0.370","1.14115886"
"371","0.371","1.14230439"
"372","0.372","1.14147551"
"373","0.373","1.14275143"
"374","0.374","1.14243478"
"375","0.375","1.14286318"
"376","0.376","1.14158727"
"377","0.377","1.14319846"
"378","0.378","1.14144757"
"379","0.379","1.14257447"
"380","0.380","1.14425085"
"381","0.381","1.14161521"
"382","0.382","1.14212744"
"383","0.383","1.14214607"
"384","0.384","1.14134513"
"385","0.385","1.14202499"
"386","0.386","1.14120543"
"387","0.387","1.14105642"
"388","0.388","1.14199705"
"389","0.389","1.14148483"
"390","0.390","1.14180148"
"391","0.391","1.14179216"
"392","0.392","1.14203431"
"393","0.393","1.14228576"
"394","0.394","1.14189461"
"395","0.395","1.14194117"
"396","0.396","1.14196911"
"397","0.397","1.14077702"
"398","0.398","1.14256516"
"399","0.399","1.14114024"
"400","0.400","1.14128925"
"401","0.401","1.14272349"
"402","0.402","1.14214607"
"403","0.403","1.14102848"
"404","0.404","1.14222988"
"405","0.405","1.14065595"
"406","0.406","1.14345923"
"407","0.407","1.14167109"
"408","0.408","1.14280730"
"409","0.409","1.14288181"
"410","0.410","1.14114024"
"411","0.411","1.14150345"
"412","0.412","1.14191324"
"413","0.413","1.14278868"
"414","0.414","1.14233233"
"415","0.415","1.14191324"
"416","0.416","1.14406459"
"417","0.417","1.14222057"
"418","0.418","1.14094466"
"419","0.419","1.14253722"
"420","0.420","1.14327297"
"421","0.421","1.14161521"
"422","0.422","1.14196911"
"423","0.423","1.14127062"
"424","0.424","1.14183873"
"425","0.425","1.14155933"
"426","0.426","1.14230439"
"427","0.427","1.14054419"
"428","0.428","1.14207156"
"429","0.429","1.14081427"
"430","0.430","1.14183873"
"431","0.431","1.14102848"
"432","0.432","1.14120543"
"433","0.433","1.14262104"
"434","0.434","1.14124268"
"435","0.435","1.14189461"
"436","0.436","1.14297494"
"437","0.437","1.14153139"
"438","0.438","1.14157796"
"439","0.439","1.14140101"
"440","0.440","1.14285387"
"441","0.441","1.14235096"
"442","0.442","1.14135444"
"443","0.443","1.14397146"
"444","0.444","1.14196911"
"445","0.445","1.14127062"
"446","0.446","1.14093535"
"447","0.447","1.14215538"
"448","0.448","1.14120543"
"449","0.449","1.14220195"
"450","0.450","1.14248134"
"451","0.451","1.14144757"
"452","0.452","1.14315189"
"453","0.453","1.14168972"
"454","0.454","1.14316121"
"455","0.455","1.14262104"
"456","0.456","1.14156865"
"457","0.457","1.14209019"
"458","0.458","1.14114024"
"459","0.459","1.14297494"
"460","0.460","1.14233233"
"461","0.461","1.14272349"
"462","0.462","1.14178285"
"463","0.463","1.14321709"
"464","0.464","1.14141032"
"465","0.465","1.14091672"
"466","0.466","1.14137307"
"467","0.467","1.14204362"
"468","0.468","1.14251859"
"469","0.469","1.14138238"
"470","0.470","1.14067458"
"471","0.471","1.14265829"
"472","0.472","1.14124268"
"473","0.473","1.14123337"
"474","0.474","1.14089809"
"475","0.475","1.14157796"
"476","0.476","1.14277937"
"477","0.477","1.14375725"
"478","0.478","1.14231370"
"479","0.479","1.14173628"
"480","0.480","1.14210881"
"481","0.481","1.14110298"
"482","0.482","1.14168972"
"483","0.483","1.14138238"
"484","0.484","1.14220195"
"485","0.485","1.14147551"
"486","0.486","1.14200637"
"487","0.487","1.14156865"
"488","0.488","1.14257447"
"489","0.489","1.14206225"
"490","0.490","1.14156865"
"491","0.491","1.14228576"
"492","0.492","1.14090741"
"493","0.493","1.14131719"
"494","0.494","1.14118680"
"495","0.495","1.14237890"
"496","0.496","1.14206225"
"497","0.497","1.14131719"
"498","0.498","1.14240684"
"499","0.499","1.13984570"
"500","0.500","1.14124268"
"501","0.501","1.14149414"
"502","0.502","1.14320777"
"503","0.503","1.14102848"
"504","0.504","1.14082359"
"505","0.505","1.14180148"
"506","0.506","1.14102848"
"507","0.507","1.14227645"
"508","0.508","1.14078633"
"509","0.509","1.14344992"
"510","0.510","1.14228576"
"511","0.511","1.14220195"
"512","0.512","1.14141963"
"513","0.513","1.13996677"
"514","0.514","1.14183873"
"515","0.515","1.14164315"
"516","0.516","1.14203431"
"517","0.517","1.14158727"
"518","0.518","1.14194117"
"519","0.519","1.14249066"
"520","0.520","1.14261173"
"521","0.521","1.14314258"
"522","0.522","1.14285387"
"523","0.523","1.14241615"
"524","0.524","1.14290044"
"525","0.525","1.14116818"
"526","0.526","1.14105642"
"527","0.527","1.14157796"
"528","0.528","1.14206225"
"529","0.529","1.14101917"
"530","0.530","1.14229508"
"531","0.531","1.14096329"
"532","0.532","1.14151277"
"533","0.533","1.14037655"
"534","0.534","1.14195049"
"535","0.535","1.14232302"
"536","0.536","1.14350580"
"537","0.537","1.14322640"
"538","0.538","1.14141963"
"539","0.539","1.14261173"
"540","0.540","1.14062801"
"541","0.541","1.14114024"
"542","0.542","1.14321709"
"543","0.543","1.14138238"
"544","0.544","1.14309601"
"545","0.545","1.13992952"
"546","0.546","1.14114024"
"547","0.547","1.14121474"
"548","0.548","1.14207156"
"549","0.549","1.14137307"
"550","0.550","1.14249997"
"551","0.551","1.14296563"
"552","0.552","1.14149414"
"553","0.553","1.14177354"
"554","0.554","1.14270486"
"555","0.555","1.14285387"
"556","0.556","1.14227645"
"557","0.557","1.14195049"
"558","0.558","1.14198774"
"559","0.559","1.14100985"
"560","0.560","1.14172697"
"561","0.561","1.14194117"
"562","0.562","1.14100054"
"563","0.563","1.14183873"
"564","0.564","1.14298426"
"565","0.565","1.14312395"
"566","0.566","1.14231370"
"567","0.567","1.14249997"
"568","0.568","1.14279799"
"569","0.569","1.14051625"
"570","0.570","1.14290975"
"571","0.571","1.14166178"
"572","0.572","1.14155002"
"573","0.573","1.14141963"
"574","0.574","1.14129856"
"575","0.575","1.14112161"
"576","0.576","1.14271417"
"577","0.577","1.14174560"
"578","0.578","1.14157796"
"579","0.579","1.14210881"
"580","0.580","1.14104711"
"581","0.581","1.14080496"
"582","0.582","1.14172697"
"583","0.583","1.14297494"
"584","0.584","1.14246272"
"585","0.585","1.14208087"
"586","0.586","1.14005059"
"587","0.587","1.14004128"
"588","0.588","1.14088878"
"589","0.589","1.14114955"
"590","0.590","1.14286318"
"591","0.591","1.14186667"
"592","0.592","1.14137307"
"593","0.593","1.14301220"
"594","0.594","1.14158727"
"595","0.595","1.14170834"
"596","0.596","1.14132650"
"597","0.597","1.14200637"
"598","0.598","1.14233233"
"599","0.599","1.14058144"
"600","0.600","1.14231370"
"601","0.601","1.14110298"
"602","0.602","1.14122406"
"603","0.603","1.14278868"
"604","0.604","1.14199705"
"605","0.605","1.14132650"
"606","0.606","1.14020891"
"607","0.607","1.14243478"
"608","0.608","1.14166178"
"609","0.609","1.13992020"
"610","0.610","1.14200637"
"611","0.611","1.14177354"
"612","0.612","1.14136375"
"613","0.613","1.14144757"
"614","0.614","1.14207156"
"615","0.615","1.14162453"
"616","0.616","1.14215538"
"617","0.617","1.13989227"
"618","0.618","1.14056282"
"619","0.619","1.14150345"
"620","0.620","1.14080496"
"621","0.621","1.14277005"
"622","0.622","1.14013441"
"623","0.623","1.14011578"
"624","0.624","1.14229508"
"625","0.625","1.14166178"
"626","0.626","1.14041381"
"627","0.627","1.14222988"
"628","0.628","1.14123337"
"629","0.629","1.14001334"
"630","0.630","1.14181079"
"631","0.631","1.14024617"
"632","0.632","1.14135444"
"633","0.633","1.14097260"
"634","0.634","1.14057213"
"635","0.635","1.14232302"
"636","0.636","1.14125200"
"637","0.637","1.14209950"
"638","0.638","1.14131719"
"639","0.639","1.14287250"
