Device: USB-2408-2AO,,
Serial Number: 1C3CD25,,
Channel Count: 1,,
Sample Count: 4047,,
Start Time: 2/5/2020 11:04:06.790 AM,,
Scan Rate: 1000,,
Sample,Time (s),AI4 (mV)
0,0,0.60688704
1,0.001,0.60679391
2,0.002,0.6085448
3,0.003,0.60719438
4,0.004,0.60626306
5,0.005,0.60694292
6,0.006,0.60659833
7,0.007,0.60698949
8,0.008,0.60595572
9,0.009,0.60613267
10,0.01,0.60739927
11,0.011,0.60564838
12,0.012,0.60759485
13,0.013,0.60575083
14,0.014,0.60513616
15,0.015,0.60667284
16,0.016,0.60720369
17,0.017,0.60582533
18,0.018,0.60677528
19,0.019,0.6067194
20,0.02,0.60550869
21,0.021,0.60620718
22,0.022,0.60698017
23,0.023,0.60688704
24,0.024,0.60676597
25,0.025,0.60656108
26,0.026,0.6086193
27,0.027,0.60589053
28,0.028,0.60871243
29,0.029,0.60704537
30,0.03,0.60574152
31,0.031,0.60770661
32,0.032,0.60543418
33,0.033,0.60617924
34,0.034,0.60703605
35,0.035,0.6080512
36,0.036,0.60770661
37,0.037,0.60732476
38,0.038,0.60897321
39,0.039,0.60616061
40,0.04,0.60689636
41,0.041,0.60575083
42,0.042,0.60507096
43,0.043,0.60737133
44,0.044,0.60420483
45,0.045,0.60549006
46,0.046,0.6066449
47,0.047,0.60477294
48,0.048,1.09160319
49,0.049,2.53822654
50,0.05,3.42858955
51,0.051,3.88801098
52,0.052,4.69960272
53,0.053,5.22506423
54,0.054,5.72265126
55,0.055,6.66731969
56,0.056,7.6114852
57,0.057,8.46190378
58,0.058,9.25973058
59,0.059,9.90819186
60,0.06,10.49860381
61,0.061,10.9762419
62,0.062,11.3419164
63,0.063,11.53445803
64,0.064,11.31462865
65,0.065,10.79689711
66,0.066,10.0220833
67,0.067,9.29303467
68,0.068,8.46542418
69,0.069,7.50172883
70,0.07,6.49868511
71,0.071,5.45586459
72,0.072,4.39472497
73,0.073,3.36064026
74,0.074,2.34955922
75,0.075,1.35549344
76,0.076,0.4522223
77,0.077,-0.35043806
78,0.078,-1.09227374
79,0.079,-1.76841393
80,0.08,-2.40956433
81,0.081,-3.00188549
82,0.082,-3.53285111
83,0.083,-3.96374613
84,0.084,-4.33513895
85,0.085,-4.6298001
86,0.086,-4.86536883
87,0.087,-5.10506332
88,0.088,-5.25188632
89,0.089,-5.31324185
90,0.09,-5.26781194
91,0.091,-5.09501435
92,0.092,-4.83798794
93,0.093,-4.50754538
94,0.094,-4.17712145
95,0.095,-3.78887169
96,0.096,-3.4012273
97,0.097,-2.97064893
98,0.098,-2.45401636
99,0.099,-1.88938342
100,0.1,-1.26350671
101,0.101,-0.58534555
102,0.102,0.11399388
103,0.103,0.81812963
104,0.104,1.48653053
105,0.105,2.07824633
106,0.106,2.66336836
107,0.107,3.3016596
108,0.108,3.89187597
109,0.109,4.4371374
110,0.11,4.91359271
111,0.111,5.33739105
112,0.112,5.66184521
113,0.113,5.87019138
114,0.114,5.94501384
115,0.115,5.87139279
116,0.116,5.6730397
117,0.117,5.39152883
118,0.118,5.06729819
119,0.119,4.72365879
120,0.12,4.30909917
121,0.121,3.85272317
122,0.122,3.34189273
123,0.123,2.82235444
124,0.124,2.28264369
125,0.125,1.7516315
126,0.126,1.23200938
127,0.127,0.71391463
128,0.128,0.22462569
129,0.129,-0.2231542
130,0.13,-0.62376261
131,0.131,-0.96437521
132,0.132,-1.25034712
133,0.133,-1.52278692
134,0.134,-1.8331036
135,0.135,-2.12711282
136,0.136,-2.3259595
137,0.137,-2.44463794
138,0.138,-2.52019614
139,0.139,-2.5543198
140,0.14,-2.59091146
141,0.141,-2.6070606
142,0.142,-2.55767256
143,0.143,-2.45095231
144,0.144,-2.26647593
145,0.145,-2.05772929
146,0.146,-1.84832141
147,0.147,-1.61642209
148,0.148,-1.36328861
149,0.149,-1.0773167
150,0.15,-0.75506046
151,0.151,-0.41706488
152,0.152,-0.06859191
153,0.153,0.28485432
154,0.154,0.63481741
155,0.155,0.97298995
156,0.156,1.25542283
157,0.157,1.46787614
158,0.158,1.71320513
159,0.159,2.01337971
160,0.16,2.27857381
161,0.161,2.55965628
162,0.162,2.79503874
163,0.163,2.98830681
164,0.164,3.1098444
165,0.165,3.14685516
166,0.166,3.13710421
167,0.167,3.07440758
168,0.168,2.99965031
169,0.169,2.90747732
170,0.17,2.78684311
171,0.171,2.63203867
172,0.172,2.41199508
173,0.173,2.17234716
174,0.174,1.93724409
175,0.175,1.71180815
176,0.176,1.49738975
177,0.177,1.26269646
178,0.178,1.00987032
179,0.179,0.74879266
180,0.18,0.49349852
181,0.181,0.26829541
182,0.182,0.06190501
183,0.183,-0.11227094
184,0.184,-0.25849789
185,0.185,-0.37709251
186,0.186,-0.45807101
