"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2847"
"Start Time: 2/5/2020 11:07:36.567 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.92868693"
"1","0.001","0.92788599"
"2","0.002","0.92905946"
"3","0.003","0.92918985"
"4","0.004","0.92722476"
"5","0.005","0.92700124"
"6","0.006","0.93013979"
"7","0.007","0.92726201"
"8","0.008","0.92714094"
"9","0.009","0.92783943"
"10","0.010","0.92793256"
"11","0.011","0.92727132"
"12","0.012","0.92834234"
"13","0.013","0.92673115"
"14","0.014","0.92692673"
"15","0.015","0.93021430"
"16","0.016","0.92775561"
"17","0.017","0.92860311"
"18","0.018","0.92884526"
"19","0.019","0.92695467"
"20","0.020","0.92877075"
"21","0.021","0.92703849"
"22","0.022","0.92831440"
"23","0.023","0.92764385"
"24","0.024","0.92697330"
"25","0.025","0.92484988"
"26","0.026","0.92556700"
"27","0.027","0.92442147"
"28","0.028","0.92451461"
"29","0.029","0.92376024"
"30","0.030","0.92433766"
"31","0.031","0.92525035"
"32","0.032","0.92603266"
"33","0.033","0.92455186"
"34","0.034","0.92452392"
"35","0.035","0.92322007"
"36","0.036","0.92469156"
"37","0.037","0.92348084"
"38","0.038","0.92371367"
"39","0.039","0.92164613"
"40","0.040","0.92254952"
"41","0.041","0.92413276"
"42","0.042","0.92376955"
"43","0.043","0.92408620"
"44","0.044","0.92249364"
"45","0.045","0.92353672"
"46","0.046","0.92477538"
"47","0.047","0.92316419"
"48","0.048","0.92308968"
"49","0.049","0.92281960"
"50","0.050","0.92435628"
"51","0.051","0.92308037"
"52","0.052","0.92422590"
"53","0.053","0.92416070"
"54","0.054","0.92523172"
"55","0.055","0.92457049"
"56","0.056","0.92458911"
"57","0.057","0.92463568"
"58","0.058","0.92516653"
"59","0.059","0.92402101"
"60","0.060","0.92490576"
"61","0.061","0.92651695"
"62","0.062","0.92674047"
"63","0.063","0.92639588"
"64","0.064","0.92577189"
"65","0.065","0.92498958"
"66","0.066","0.92698261"
"67","0.067","0.92421658"
"68","0.068","0.92510134"
"69","0.069","0.92582777"
"70","0.070","0.92642382"
"71","0.071","0.92592090"
"72","0.072","0.92742033"
"73","0.073","0.92920847"
"74","0.074","0.92823990"
"75","0.075","0.92950650"
"76","0.076","0.92756934"
"77","0.077","0.92755072"
"78","0.078","0.92785805"
"79","0.079","0.92631206"
"80","0.080","0.92835166"
"81","0.081","0.92752278"
"82","0.082","0.92745759"
"83","0.083","0.92783943"
"84","0.084","0.92892908"
"85","0.085","0.92673115"
"86","0.086","0.92701986"
"87","0.087","0.92646107"
"88","0.088","0.92764385"
"89","0.089","0.92674047"
"90","0.090","0.92773698"
"91","0.091","0.92863105"
"92","0.092","0.92777424"
"93","0.093","0.92684291"
"94","0.094","0.92774630"
"95","0.095","0.92814676"
"96","0.096","0.92810951"
"97","0.097","0.92996284"
"98","0.098","0.92833303"
"99","0.099","0.92950650"
"100","0.100","0.92951581"
"101","0.101","0.92923641"
"102","0.102","0.92902221"
"103","0.103","0.92854723"
"104","0.104","0.92897564"
"105","0.105","0.92742965"
"106","0.106","0.93001872"
"107","0.107","0.93013979"
"108","0.108","0.92973001"
"109","0.109","0.92994422"
"110","0.110","0.92818402"
"111","0.111","0.92825852"
"112","0.112","0.92905946"
"113","0.113","0.92927366"
"114","0.114","0.92960894"
"115","0.115","0.92842616"
"116","0.116","0.92922710"
"117","0.117","0.92921779"
"118","0.118","0.93024224"
"119","0.119","0.92945062"
"120","0.120","0.92995353"
"121","0.121","0.93013048"
"122","0.122","0.92985108"
"123","0.123","0.92905015"
"124","0.124","0.93052164"
"125","0.125","0.92944130"
"126","0.126","0.93027018"
"127","0.127","0.93173236"
"128","0.128","0.93066134"
"129","0.129","0.93097799"
"130","0.130","0.93007460"
"131","0.131","0.93000010"
"132","0.132","0.93024224"
"133","0.133","0.93178824"
"134","0.134","0.93112700"
"135","0.135","0.93054026"
"136","0.136","0.93113631"
"137","0.137","0.93100592"
"138","0.138","0.93235634"
"139","0.139","0.93139708"
"140","0.140","0.93191862"
"141","0.141","0.93250535"
"142","0.142","0.93036331"
"143","0.143","0.93325041"
"144","0.144","0.93397684"
"145","0.145","0.93252398"
"146","0.146","0.93213283"
"147","0.147","0.93183480"
"148","0.148","0.93365088"
"149","0.149","0.93391165"
"150","0.150","0.93245879"
"151","0.151","0.93151815"
"152","0.152","0.93366951"
"153","0.153","0.93350187"
"154","0.154","0.93249604"
"155","0.155","0.93341805"
"156","0.156","0.93378127"
"157","0.157","0.93286857"
"158","0.158","0.93360431"
"159","0.159","0.93256123"
"160","0.160","0.93313865"
"161","0.161","0.93373470"
"162","0.162","0.93151815"
"163","0.163","0.93062408"
"164","0.164","0.93161128"
"165","0.165","0.93236566"
"166","0.166","0.92990696"
"167","0.167","0.93069859"
"168","0.168","0.93095936"
"169","0.169","0.92911534"
"170","0.170","0.92808157"
"171","0.171","0.92928298"
"172","0.172","0.93018636"
"173","0.173","0.92971139"
"174","0.174","0.92896633"
"175","0.175","0.92880800"
"176","0.176","0.92703849"
"177","0.177","0.92734583"
"178","0.178","0.92703849"
"179","0.179","0.92797913"
"180","0.180","0.92738308"
"181","0.181","0.92811882"
"182","0.182","0.92701055"
"183","0.183","0.92690811"
"184","0.184","0.92853792"
"185","0.185","0.92801638"
"186","0.186","0.92689879"
"187","0.187","0.92858449"
"188","0.188","0.92820264"
"189","0.189","0.92813745"
"190","0.190","0.92980452"
"191","0.191","0.92861243"
"192","0.192","0.92753209"
"193","0.193","0.93000010"
"194","0.194","0.92810951"
"195","0.195","0.92812814"
"196","0.196","0.92974864"
"197","0.197","0.92757866"
"198","0.198","0.92765316"
"199","0.199","0.92973933"
"200","0.200","0.92797913"
"201","0.201","0.92877075"
"202","0.202","0.92868693"
"203","0.203","0.92802569"
"204","0.204","0.92756003"
"205","0.205","0.92983246"
"206","0.206","0.92873350"
"207","0.207","0.92890114"
"208","0.208","0.93058683"
"209","0.209","0.92962757"
"210","0.210","0.93099661"
"211","0.211","0.93040988"
"212","0.212","0.93023293"
"213","0.213","0.93053095"
"214","0.214","0.93156472"
"215","0.215","0.93099661"
"216","0.216","0.92894770"
"217","0.217","0.93060546"
"218","0.218","0.93128532"
"219","0.219","0.93125738"
"220","0.220","0.93243085"
"221","0.221","0.93036331"
"222","0.222","0.93245879"
"223","0.223","0.93134120"
"224","0.224","0.93087554"
"225","0.225","0.93063340"
"226","0.226","0.93064271"
"227","0.227","0.93176961"
"228","0.228","0.93121082"
"229","0.229","0.93080103"
"230","0.230","0.93148090"
"231","0.231","0.93087554"
"232","0.232","0.92882663"
"233","0.233","0.92993490"
"234","0.234","0.92868693"
"235","0.235","0.92923641"
"236","0.236","0.92940405"
"237","0.237","0.92907809"
"238","0.238","0.92922710"
"239","0.239","0.92938542"
"240","0.240","0.92958100"
"241","0.241","0.93106180"
"242","0.242","0.92902221"
"243","0.243","0.93138777"
"244","0.244","0.92865899"
"245","0.245","0.93051232"
"246","0.246","0.92975795"
"247","0.247","0.93067996"
"248","0.248","0.92923641"
"249","0.249","0.93113631"
"250","0.250","0.93012117"
"251","0.251","0.93037263"
"252","0.252","0.93013979"
"253","0.253","0.93081035"
"254","0.254","0.93131326"
"255","0.255","0.93060546"
"256","0.256","0.93073584"
"257","0.257","0.92984177"
"258","0.258","0.93177892"
"259","0.259","0.93037263"
"260","0.260","0.93066134"
"261","0.261","0.93167648"
"262","0.262","0.93070790"
"263","0.263","0.93167648"
"264","0.264","0.93236566"
"265","0.265","0.93199313"
"266","0.266","0.93257055"
"267","0.267","0.92980452"
"268","0.268","0.93283132"
"269","0.269","0.93239360"
"270","0.270","0.93194656"
"271","0.271","0.93165785"
"272","0.272","0.93142502"
"273","0.273","0.93055889"
"274","0.274","0.93158334"
"275","0.275","0.93260780"
"276","0.276","0.93166716"
"277","0.277","0.93325041"
"278","0.278","0.93281269"
"279","0.279","0.93411654"
"280","0.280","0.93405135"
"281","0.281","0.93295239"
"282","0.282","0.93260780"
"283","0.283","0.93247741"
"284","0.284","0.93291514"
"285","0.285","0.93275681"
"286","0.286","0.93232840"
"287","0.287","0.93180686"
"288","0.288","0.93228184"
"289","0.289","0.93169510"
"290","0.290","0.93068928"
"291","0.291","0.93270093"
"292","0.292","0.93194656"
"293","0.293","0.93242154"
"294","0.294","0.93181618"
"295","0.295","0.93178824"
"296","0.296","0.93151815"
"297","0.297","0.93183480"
"298","0.298","0.93338080"
"299","0.299","0.93306415"
"300","0.300","0.93143433"
"301","0.301","0.93156472"
"302","0.302","0.93176961"
"303","0.303","0.93169510"
"304","0.304","0.93178824"
"305","0.305","0.93031675"
"306","0.306","0.93235634"
"307","0.307","0.93142502"
"308","0.308","0.93219802"
"309","0.309","0.93211420"
"310","0.310","0.93249604"
"311","0.311","0.93227252"
"312","0.312","0.93211420"
"313","0.313","0.93283132"
"314","0.314","0.93335286"
"315","0.315","0.93388371"
"316","0.316","0.93266368"
"317","0.317","0.93228184"
"318","0.318","0.93335286"
"319","0.319","0.93230978"
"320","0.320","0.93319453"
"321","0.321","0.93238428"
"322","0.322","0.93327835"
"323","0.323","0.93281269"
"324","0.324","0.93252398"
"325","0.325","0.93221664"
"326","0.326","0.93350187"
"327","0.327","0.93347393"
"328","0.328","0.93488954"
"329","0.329","0.93353912"
"330","0.330","0.93393959"
"331","0.331","0.93385577"
"332","0.332","0.93408860"
"333","0.333","0.93457289"
"334","0.334","0.93420036"
"335","0.335","0.93389302"
"336","0.336","0.93707815"
"337","0.337","0.93298033"
"338","0.338","0.93474984"
"339","0.339","0.93431212"
"340","0.340","0.93516894"
"341","0.341","0.93440525"
"342","0.342","0.93318522"
"343","0.343","0.93569979"
"344","0.344","0.93467534"
"345","0.345","0.93496405"
"346","0.346","0.93474984"
"347","0.347","0.93558803"
"348","0.348","0.93602575"
"349","0.349","0.93474984"
"350","0.350","0.93548559"
"351","0.351","0.93488954"
"352","0.352","0.93264505"
"353","0.353","0.93352981"
"354","0.354","0.93373470"
"355","0.355","0.93367882"
"356","0.356","0.93345530"
"357","0.357","0.93234703"
"358","0.358","0.93212351"
"359","0.359","0.93142502"
"360","0.360","0.92989765"
"361","0.361","0.93209557"
"362","0.362","0.93171373"
"363","0.363","0.93153678"
"364","0.364","0.93185343"
"365","0.365","0.93257986"
"366","0.366","0.93195587"
"367","0.367","0.93072653"
"368","0.368","0.93182549"
"369","0.369","0.93138777"
"370","0.370","0.93177892"
"371","0.371","0.93239360"
"372","0.372","0.93006529"
"373","0.373","0.93228184"
"374","0.374","0.93229115"
"375","0.375","0.93161128"
"376","0.376","0.93288720"
"377","0.377","0.93208626"
"378","0.378","0.93205832"
"379","0.379","0.93122944"
"380","0.380","0.93235634"
"381","0.381","0.93151815"
"382","0.382","0.93249604"
"383","0.383","0.93240291"
"384","0.384","0.93241222"
"385","0.385","0.93400478"
"386","0.386","0.93217008"
"387","0.387","0.93274750"
"388","0.388","0.93348324"
"389","0.389","0.93298033"
"390","0.390","0.93351118"
"391","0.391","0.93361363"
"392","0.392","0.93245879"
"393","0.393","0.93441457"
"394","0.394","0.93406998"
"395","0.395","0.93365088"
"396","0.396","0.93373470"
"397","0.397","0.93440525"
"398","0.398","0.93504786"
"399","0.399","0.93459152"
"400","0.400","0.93461014"
"401","0.401","0.93362294"
"402","0.402","0.93452632"
"403","0.403","0.93455426"
"404","0.404","0.93527138"
"405","0.405","0.93372539"
"406","0.406","0.93591399"
"407","0.407","0.93528070"
"408","0.408","0.93583018"
"409","0.409","0.93564391"
"410","0.410","0.93357638"
"411","0.411","0.93451701"
"412","0.412","0.93568116"
"413","0.413","0.93597919"
"414","0.414","0.93414448"
"415","0.415","0.93530864"
"416","0.416","0.93539245"
"417","0.417","0.93530864"
"418","0.418","0.93452632"
"419","0.419","0.93596056"
"420","0.420","0.93606301"
"421","0.421","0.93439594"
"422","0.422","0.93672425"
"423","0.423","0.93681738"
"424","0.424","0.93498267"
"425","0.425","0.93584880"
"426","0.426","0.93583949"
"427","0.427","0.93592331"
"428","0.428","0.93555078"
"429","0.429","0.93624927"
"430","0.430","0.93743205"
"431","0.431","0.93528070"
"432","0.432","0.93545765"
"433","0.433","0.93509443"
"434","0.434","0.93612820"
"435","0.435","0.93651004"
"436","0.436","0.93595125"
"437","0.437","0.93487091"
"438","0.438","0.93538314"
"439","0.439","0.93709677"
"440","0.440","0.93694776"
"441","0.441","0.93545765"
"442","0.442","0.93643554"
"443","0.443","0.93592331"
"444","0.444","0.93595125"
"445","0.445","0.93711540"
"446","0.446","0.93631446"
"447","0.447","0.93691051"
"448","0.448","0.93773939"
"449","0.449","0.93743205"
"450","0.450","0.93483366"
"451","0.451","0.93703158"
"452","0.452","0.93663111"
"453","0.453","0.93610026"
"454","0.454","0.93622133"
"455","0.455","0.93520619"
"456","0.456","0.93513168"
"457","0.457","0.93709677"
"458","0.458","0.93743205"
"459","0.459","0.93739480"
"460","0.460","0.93604438"
"461","0.461","0.93531795"
"462","0.462","0.93510374"
"463","0.463","0.93592331"
"464","0.464","0.93488954"
"465","0.465","0.93444251"
"466","0.466","0.93586743"
"467","0.467","0.93495473"
"468","0.468","0.93569048"
"469","0.469","0.93533657"
"470","0.470","0.93515031"
"471","0.471","0.93608163"
"472","0.472","0.93489885"
"473","0.473","0.93713403"
"474","0.474","0.93510374"
"475","0.475","0.93498267"
"476","0.476","0.93669631"
"477","0.477","0.93654729"
"478","0.478","0.93678012"
"479","0.479","0.93570910"
"480","0.480","0.93551353"
"481","0.481","0.93714334"
"482","0.482","0.93687326"
"483","0.483","0.93756244"
"484","0.484","0.93755312"
"485","0.485","0.93619339"
