"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2351"
"Start Time: 2/5/2020 10:54:45.568 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.31524338"
"1","0.001","0.31431206"
"2","0.002","0.31543896"
"3","0.003","0.31387433"
"4","0.004","0.31480566"
"5","0.005","0.31580217"
"6","0.006","0.31582080"
"7","0.007","0.31527132"
"8","0.008","0.31468458"
"9","0.009","0.31254254"
"10","0.010","0.31416304"
"11","0.011","0.31456351"
"12","0.012","0.31407923"
"13","0.013","0.31526200"
"14","0.014","0.31553209"
"15","0.015","0.31502917"
"16","0.016","0.31637959"
"17","0.017","0.31388365"
"18","0.018","0.31433068"
"19","0.019","0.31495467"
"20","0.020","0.31617470"
"21","0.021","0.31400472"
"22","0.022","0.31420961"
"23","0.023","0.31463802"
"24","0.024","0.31348318"
"25","0.025","0.31587668"
"26","0.026","0.31485222"
"27","0.027","0.31439587"
"28","0.028","0.31434000"
"29","0.029","0.31434000"
"30","0.030","0.31433068"
"31","0.031","0.31416304"
"32","0.032","0.31474046"
"33","0.033","0.31443313"
"34","0.034","0.31493604"
"35","0.035","0.31341799"
"36","0.036","0.31498261"
"37","0.037","0.31480566"
"38","0.038","0.31386502"
"39","0.039","0.31345524"
"40","0.040","0.31537376"
"41","0.041","0.31395815"
"42","0.042","0.31520613"
"43","0.043","0.31492673"
"44","0.044","0.31564385"
"45","0.045","0.31615607"
"46","0.046","0.31434000"
"47","0.047","0.31339936"
"48","0.048","0.31408854"
"49","0.049","0.31405129"
"50","0.050","0.31545758"
"51","0.051","0.31239353"
"52","0.052","0.31508505"
"53","0.053","0.31400472"
"54","0.054","0.31449832"
"55","0.055","0.31371601"
"56","0.056","0.31597912"
"57","0.057","0.31618401"
"58","0.058","0.31376258"
"59","0.059","0.31468458"
"60","0.060","0.31623989"
"61","0.061","0.31428412"
"62","0.062","0.31627715"
"63","0.063","0.31456351"
"64","0.064","0.31447038"
"65","0.065","0.31582080"
"66","0.066","0.31352043"
"67","0.067","0.31495467"
"68","0.068","0.31494536"
"69","0.069","0.31522475"
"70","0.070","0.31352043"
"71","0.071","0.31395815"
"72","0.072","0.31470321"
"73","0.073","0.31493604"
"74","0.074","0.31379983"
"75","0.075","0.31500123"
"76","0.076","0.31237490"
"77","0.077","0.31416304"
"78","0.078","0.31425618"
"79","0.079","0.31381845"
"80","0.080","0.31333417"
"81","0.081","0.31388365"
"82","0.082","0.31539239"
"83","0.083","0.31448901"
"84","0.084","0.31463802"
"85","0.085","0.31525269"
"86","0.086","0.31360425"
"87","0.087","0.31437725"
"88","0.088","0.31389296"
"89","0.089","0.31438656"
"90","0.090","0.31445175"
"91","0.091","0.31494536"
"92","0.092","0.31546690"
"93","0.093","0.31400472"
"94","0.094","0.31494536"
"95","0.095","0.31473115"
"96","0.096","0.31362288"
"97","0.097","0.31413510"
"98","0.098","0.31600706"
"99","0.099","0.31467527"
"100","0.100","0.31464733"
"101","0.101","0.31621195"
"102","0.102","0.31439587"
"103","0.103","0.31549484"
"104","0.104","0.31512231"
"105","0.105","0.31350181"
"106","0.106","0.31488948"
"107","0.107","0.31420030"
"108","0.108","0.31317584"
"109","0.109","0.31532720"
"110","0.110","0.31369738"
"111","0.111","0.31486154"
"112","0.112","0.31330623"
"113","0.113","0.31515956"
"114","0.114","0.31522475"
"115","0.115","0.31417236"
"116","0.116","0.31545758"
"117","0.117","0.31476840"
"118","0.118","0.31416304"
"119","0.119","0.31528063"
"120","0.120","0.31251460"
"121","0.121","0.31349249"
"122","0.122","0.31363219"
"123","0.123","0.31475909"
"124","0.124","0.31423755"
"125","0.125","0.31345524"
"126","0.126","0.31385571"
"127","0.127","0.31393953"
"128","0.128","0.31307340"
"129","0.129","0.31418167"
"130","0.130","0.31492673"
"131","0.131","0.31598844"
"132","0.132","0.31390227"
"133","0.133","0.31449832"
"134","0.134","0.31374395"
"135","0.135","0.31298026"
"136","0.136","0.31391159"
"137","0.137","0.31308271"
"138","0.138","0.31320378"
"139","0.139","0.31397678"
"140","0.140","0.31436794"
"141","0.141","0.31342730"
"142","0.142","0.31325035"
"143","0.143","0.31406060"
"144","0.144","0.31562522"
"145","0.145","0.31258911"
"146","0.146","0.31444244"
"147","0.147","0.31379052"
"148","0.148","0.31359494"
"149","0.149","0.31369738"
"150","0.150","0.31367876"
"151","0.151","0.31311996"
"152","0.152","0.31363219"
"153","0.153","0.31450763"
"154","0.154","0.31325966"
"155","0.155","0.31409785"
"156","0.156","0.31504780"
"157","0.157","0.31271949"
"158","0.158","0.31361356"
"159","0.159","0.31333417"
"160","0.160","0.31420030"
"161","0.161","0.31379052"
"162","0.162","0.31300820"
"163","0.163","0.31469390"
"164","0.164","0.31420030"
"165","0.165","0.31401403"
"166","0.166","0.31368807"
"167","0.167","0.31396747"
"168","0.168","0.31414442"
"169","0.169","0.31258911"
"170","0.170","0.31506643"
"171","0.171","0.31311996"
"172","0.172","0.31339936"
"173","0.173","0.31420030"
"174","0.174","0.31366944"
"175","0.175","0.31368807"
"176","0.176","0.31338073"
"177","0.177","0.31381845"
"178","0.178","0.31464733"
"179","0.179","0.31353906"
"180","0.180","0.31450763"
"181","0.181","0.31328760"
"182","0.182","0.31396747"
"183","0.183","0.31394884"
"184","0.184","0.31143427"
"185","0.185","0.31366013"
"186","0.186","0.31458214"
"187","0.187","0.31548552"
"188","0.188","0.31369738"
"189","0.189","0.31425618"
"190","0.190","0.31243078"
"191","0.191","0.31314790"
"192","0.192","0.31389296"
"193","0.193","0.31390227"
"194","0.194","0.31279400"
"195","0.195","0.31389296"
"196","0.196","0.31358562"
"197","0.197","0.31292439"
"198","0.198","0.31310134"
"199","0.199","0.31363219"
"200","0.200","0.31421892"
"201","0.201","0.31183474"
"202","0.202","0.31440519"
"203","0.203","0.31279400"
"204","0.204","0.31145290"
"205","0.205","0.31435862"
"206","0.206","0.31385571"
"207","0.207","0.31393021"
"208","0.208","0.31411648"
"209","0.209","0.31374395"
"210","0.210","0.31365082"
"211","0.211","0.31429343"
"212","0.212","0.31345524"
"213","0.213","0.31365082"
"214","0.214","0.31281263"
"215","0.215","0.31428412"
"216","0.216","0.31311996"
"217","0.217","0.31379983"
"218","0.218","0.31244010"
"219","0.219","0.31465665"
"220","0.220","0.31384639"
"221","0.221","0.31370670"
"222","0.222","0.31397678"
"223","0.223","0.31461008"
"224","0.224","0.31309202"
"225","0.225","0.31388365"
"226","0.226","0.31230040"
"227","0.227","0.31370670"
"228","0.228","0.31320378"
"229","0.229","0.31274743"
"230","0.230","0.31320378"
"231","0.231","0.31262636"
"232","0.232","0.31340867"
"233","0.233","0.31467527"
"234","0.234","0.31384639"
"235","0.235","0.31419098"
"236","0.236","0.31218864"
"237","0.237","0.31295232"
"238","0.238","0.31353906"
"239","0.239","0.31388365"
"240","0.240","0.31271949"
"241","0.241","0.31417236"
"242","0.242","0.31442381"
"243","0.243","0.31395815"
"244","0.244","0.31333417"
"245","0.245","0.31424686"
"246","0.246","0.31328760"
"247","0.247","0.31404197"
"248","0.248","0.31582080"
"249","0.249","0.31545758"
"250","0.250","0.31331554"
"251","0.251","0.31291507"
"252","0.252","0.31325966"
"253","0.253","0.31268224"
"254","0.254","0.31354837"
"255","0.255","0.31447038"
"256","0.256","0.31287782"
"257","0.257","0.31504780"
"258","0.258","0.31315722"
"259","0.259","0.31435862"
"260","0.260","0.31378120"
"261","0.261","0.31352043"
"262","0.262","0.31290576"
"263","0.263","0.31267293"
"264","0.264","0.31297095"
"265","0.265","0.31505711"
"266","0.266","0.31417236"
"267","0.267","0.31278469"
"268","0.268","0.31379983"
"269","0.269","0.31310134"
"270","0.270","0.31268224"
"271","0.271","0.31487085"
"272","0.272","0.31355768"
"273","0.273","0.31339936"
"274","0.274","0.31421892"
"275","0.275","0.31394884"
"276","0.276","0.31276606"
"277","0.277","0.31515025"
"278","0.278","0.31407923"
"279","0.279","0.31280331"
"280","0.280","0.31112693"
"281","0.281","0.31209551"
"282","0.282","0.31110831"
"283","0.283","0.31191856"
"284","0.284","0.31295232"
"285","0.285","0.31361356"
"286","0.286","0.31434000"
"287","0.287","0.31373464"
"288","0.288","0.31202100"
"289","0.289","0.31321310"
"290","0.290","0.31194650"
"291","0.291","0.31298026"
"292","0.292","0.31413510"
"293","0.293","0.31231903"
"294","0.294","0.31245872"
"295","0.295","0.31322241"
"296","0.296","0.31223521"
"297","0.297","0.31290576"
"298","0.298","0.31206757"
"299","0.299","0.31321310"
"300","0.300","0.31185336"
"301","0.301","0.31303614"
"302","0.302","0.31090342"
"303","0.303","0.31327829"
"304","0.304","0.31382777"
"305","0.305","0.31243078"
"306","0.306","0.31473115"
"307","0.307","0.31317584"
"308","0.308","0.31290576"
"309","0.309","0.31378120"
"310","0.310","0.31275675"
"311","0.311","0.31333417"
"312","0.312","0.31340867"
"313","0.313","0.31310134"
"314","0.314","0.31323172"
"315","0.315","0.31368807"
"316","0.316","0.31199306"
"317","0.317","0.31362288"
"318","0.318","0.31279400"
"319","0.319","0.31199306"
"320","0.320","0.31365082"
"321","0.321","0.31319447"
"322","0.322","0.31206757"
"323","0.323","0.31338073"
"324","0.324","0.31327829"
"325","0.325","0.31363219"
"326","0.326","0.31315722"
"327","0.327","0.31250529"
"328","0.328","0.31286851"
"329","0.329","0.31343661"
"330","0.330","0.31409785"
"331","0.331","0.31159259"
"332","0.332","0.31350181"
"333","0.333","0.31216070"
"334","0.334","0.31252392"
"335","0.335","0.31339005"
"336","0.336","0.31269155"
"337","0.337","0.31202100"
"338","0.338","0.31350181"
"339","0.339","0.31260774"
"340","0.340","0.31243078"
"341","0.341","0.31328760"
"342","0.342","0.31257048"
"343","0.343","0.31345524"
"344","0.344","0.31445175"
"345","0.345","0.31237490"
"346","0.346","0.31278469"
"347","0.347","0.31155534"
"348","0.348","0.31328760"
"349","0.349","0.31195581"
"350","0.350","0.31133182"
"351","0.351","0.31256117"
"352","0.352","0.31217001"
"353","0.353","0.31422824"
"354","0.354","0.31329691"
"355","0.355","0.31259842"
"356","0.356","0.31162053"
"357","0.357","0.31234697"
"358","0.358","0.31072646"
"359","0.359","0.31210482"
"360","0.360","0.31229109"
"361","0.361","0.31333417"
"362","0.362","0.31315722"
"363","0.363","0.31327829"
"364","0.364","0.31385571"
"365","0.365","0.31295232"
"366","0.366","0.31408854"
"367","0.367","0.31358562"
"368","0.368","0.31306408"
"369","0.369","0.31249598"
"370","0.370","0.31343661"
"371","0.371","0.31311065"
"372","0.372","0.31067058"
"373","0.373","0.31081028"
"374","0.374","0.31067058"
"375","0.375","0.31306408"
"376","0.376","0.31306408"
"377","0.377","0.31039119"
"378","0.378","0.31388365"
"379","0.379","0.31248666"
"380","0.380","0.31112693"
"381","0.381","0.31106174"
"382","0.382","0.31211413"
"383","0.383","0.31291507"
"384","0.384","0.31302683"
"385","0.385","0.31218864"
"386","0.386","0.31402335"
"387","0.387","0.31166710"
"388","0.388","0.31260774"
"389","0.389","0.31143427"
"390","0.390","0.31107105"
"391","0.391","0.31271949"
"392","0.392","0.31289645"
"393","0.393","0.31416304"
"394","0.394","0.31333417"
"395","0.395","0.31252392"
"396","0.396","0.31320378"
"397","0.397","0.31234697"
"398","0.398","0.31353906"
"399","0.399","0.31358562"
"400","0.400","0.31168573"
"401","0.401","0.31262636"
"402","0.402","0.31296164"
"403","0.403","0.31297095"
"404","0.404","0.31226315"
"405","0.405","0.31223521"
"406","0.406","0.31252392"
"407","0.407","0.31230971"
"408","0.408","0.31383708"
"409","0.409","0.31257048"
"410","0.410","0.31237490"
"411","0.411","0.31309202"
"412","0.412","0.31151809"
"413","0.413","0.31211413"
"414","0.414","0.31339936"
"415","0.415","0.31203032"
"416","0.416","0.31273812"
"417","0.417","0.31364150"
"418","0.418","0.31184405"
"419","0.419","0.31430274"
"420","0.420","0.31283125"
"421","0.421","0.31325035"
"422","0.422","0.31186268"
"423","0.423","0.31240284"
"424","0.424","0.31103380"
"425","0.425","0.31150877"
"426","0.426","0.31219795"
"427","0.427","0.31248666"
"428","0.428","0.31278469"
"429","0.429","0.31218864"
"430","0.430","0.31221658"
"431","0.431","0.31204894"
"432","0.432","0.31230971"
"433","0.433","0.31255186"
"434","0.434","0.31199306"
"435","0.435","0.31254254"
"436","0.436","0.31323172"
"437","0.437","0.31276606"
"438","0.438","0.31244941"
"439","0.439","0.31149946"
"440","0.440","0.31228177"
"441","0.441","0.31283125"
"442","0.442","0.31379983"
"443","0.443","0.31206757"
"444","0.444","0.31115487"
"445","0.445","0.31262636"
"446","0.446","0.31180680"
"447","0.447","0.31181611"
"448","0.448","0.31220727"
"449","0.449","0.31298958"
"450","0.450","0.31234697"
"451","0.451","0.31184405"
"452","0.452","0.31146221"
"453","0.453","0.31325035"
"454","0.454","0.31195581"
"455","0.455","0.31088479"
"456","0.456","0.31219795"
"457","0.457","0.31285919"
"458","0.458","0.31337142"
"459","0.459","0.31160191"
"460","0.460","0.31179748"
"461","0.461","0.31146221"
"462","0.462","0.31248666"
"463","0.463","0.31122938"
"464","0.464","0.31133182"
"465","0.465","0.31248666"
"466","0.466","0.31218864"
"467","0.467","0.31161122"
"468","0.468","0.31199306"
"469","0.469","0.31159259"
"470","0.470","0.31284057"
"471","0.471","0.31151809"
"472","0.472","0.31116419"
"473","0.473","0.31255186"
"474","0.474","0.31314790"
"475","0.475","0.31142496"
"476","0.476","0.31184405"
"477","0.477","0.31097792"
"478","0.478","0.31109899"
"479","0.479","0.31238422"
"480","0.480","0.31190924"
"481","0.481","0.31239353"
"482","0.482","0.31296164"
"483","0.483","0.31112693"
"484","0.484","0.31108037"
"485","0.485","0.31234697"
"486","0.486","0.31325035"
"487","0.487","0.31278469"
"488","0.488","0.31375326"
"489","0.489","0.31108968"
"490","0.490","0.31237490"
"491","0.491","0.31106174"
"492","0.492","0.31208619"
"493","0.493","0.31317584"
"494","0.494","0.31076372"
"495","0.495","0.31283125"
"496","0.496","0.31199306"
"497","0.497","0.31191856"
"498","0.498","0.31235628"
"499","0.499","0.31416304"
"500","0.500","0.31244010"
"501","0.501","0.31221658"
"502","0.502","0.31021424"
"503","0.503","0.31130388"
"504","0.504","0.31281263"
"505","0.505","0.31132251"
