"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 1679"
"Start Time: 2/5/2020 10:35:41.853 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.60348772"
"1","0.001","0.60401857"
"2","0.002","0.60402788"
"3","0.003","0.60339458"
"4","0.004","0.60348772"
"5","0.005","0.60337596"
"6","0.006","0.60280785"
"7","0.007","0.60231425"
"8","0.008","0.60119666"
"9","0.009","0.60396269"
"10","0.010","0.60242601"
"11","0.011","0.60166232"
"12","0.012","0.60315244"
"13","0.013","0.60263090"
"14","0.014","0.60129911"
"15","0.015","0.60342252"
"16","0.016","0.60294755"
"17","0.017","0.60306862"
"18","0.018","0.60264021"
"19","0.019","0.60266815"
"20","0.020","0.60302205"
"21","0.021","0.60351565"
"22","0.022","0.60210004"
"23","0.023","0.60241669"
"24","0.024","0.60227700"
"25","0.025","0.60447492"
"26","0.026","0.60278922"
"27","0.027","0.60325488"
"28","0.028","0.60301274"
"29","0.029","0.60343184"
"30","0.030","0.60199760"
"31","0.031","0.60343184"
"32","0.032","0.60200691"
"33","0.033","0.60474500"
"34","0.034","0.60316175"
"35","0.035","0.60327351"
"36","0.036","0.60131773"
"37","0.037","0.60200691"
"38","0.038","0.60251914"
"39","0.039","0.60374849"
"40","0.040","0.60285442"
"41","0.041","0.60257502"
"42","0.042","0.60290098"
"43","0.043","0.60205348"
"44","0.044","0.60286373"
"45","0.045","0.60386024"
"46","0.046","0.60200691"
"47","0.047","0.60222112"
"48","0.048","0.60390681"
"49","0.049","0.60208142"
"50","0.050","0.60390681"
"51","0.051","0.60086139"
"52","0.052","0.60111284"
"53","0.053","0.60329214"
"54","0.054","0.60376711"
"55","0.055","0.60246326"
"56","0.056","0.60251914"
"57","0.057","0.60398132"
"58","0.058","0.60312450"
"59","0.059","0.60331076"
"60","0.060","0.60156919"
"61","0.061","0.60227700"
"62","0.062","0.60282648"
"63","0.063","0.60129911"
"64","0.064","0.60335733"
"65","0.065","0.60312450"
"66","0.066","0.60361810"
