"Device: USB-2408-2AO"
"Serial Number: 1C3CD25"
"Channel Count: 1"
"Sample Count: 2767"
"Start Time: 2/5/2020 10:28:13.690 AM"
"Scan Rate: 1000"
"Sample","Time (s)","AI4 (mV)"
"0","0.000","0.30335039"
"1","0.001","0.30565076"
"2","0.002","0.30322000"
"3","0.003","0.30569732"
"4","0.004","0.30465424"
"5","0.005","0.30484051"
"6","0.006","0.30476600"
"7","0.007","0.30480325"
"8","0.008","0.30376017"
"9","0.009","0.30443072"
"10","0.010","0.30441210"
"11","0.011","0.30477531"
"12","0.012","0.30304305"
"13","0.013","0.30526891"
"14","0.014","0.30504540"
"15","0.015","0.30432828"
"16","0.016","0.30306168"
"17","0.017","0.30371360"
"18","0.018","0.30356459"
"19","0.019","0.30539930"
"20","0.020","0.30470081"
"21","0.021","0.30240044"
"22","0.022","0.30489638"
"23","0.023","0.30257739"
"24","0.024","0.30476600"
"25","0.025","0.30564144"
"26","0.026","0.30444935"
"27","0.027","0.30249357"
"28","0.028","0.30471012"
"29","0.029","0.30484051"
"30","0.030","0.30444935"
"31","0.031","0.30374154"
"32","0.032","0.30579977"
"33","0.033","0.30509196"
"34","0.034","0.30406751"
"35","0.035","0.30525029"
"36","0.036","0.30397438"
"37","0.037","0.30474737"
"38","0.038","0.30393712"
"39","0.039","0.30307099"
"40","0.040","0.30364841"
"41","0.041","0.30464493"
"42","0.042","0.30264258"
"43","0.043","0.30430034"
"44","0.044","0.30497089"
"45","0.045","0.30406751"
"46","0.046","0.30337833"
"47","0.047","0.30441210"
"48","0.048","0.30345283"
"49","0.049","0.30502677"
"50","0.050","0.30362047"
"51","0.051","0.30421652"
"52","0.052","0.30366704"
"53","0.053","0.30243769"
"54","0.054","0.30445866"
"55","0.055","0.30537136"
"56","0.056","0.30474737"
"57","0.057","0.30437484"
"58","0.058","0.30382536"
"59","0.059","0.30468218"
"60","0.060","0.30424446"
"61","0.061","0.30359253"
"62","0.062","0.30367635"
"63","0.063","0.30293129"
"64","0.064","0.30417927"
"65","0.065","0.30516647"
"66","0.066","0.30464493"
"67","0.067","0.30515715"
"68","0.068","0.30452386"
"69","0.069","0.30354597"
"70","0.070","0.30322932"
"71","0.071","0.30622818"
"72","0.072","0.30435622"
"73","0.073","0.30473806"
"74","0.074","0.30513853"
"75","0.075","0.30458905"
"76","0.076","0.30466355"
"77","0.077","0.30429102"
"78","0.078","0.30560419"
"79","0.079","0.30428171"
"80","0.080","0.30500814"
"81","0.081","0.30511059"
"82","0.082","0.30476600"
"83","0.083","0.30552037"
"84","0.084","0.30493364"
"85","0.085","0.30445866"
"86","0.086","0.30339696"
"87","0.087","0.30522235"
"88","0.088","0.30456111"
"89","0.089","0.30334108"
"90","0.090","0.30525960"
"91","0.091","0.30511990"
"92","0.092","0.30461699"
"93","0.093","0.30574389"
"94","0.094","0.30412339"
"95","0.095","0.30431896"
"96","0.096","0.30391850"
"97","0.097","0.30473806"
"98","0.098","0.30450523"
"99","0.099","0.30552037"
"100","0.100","0.30444935"
"101","0.101","0.30389056"
"102","0.102","0.30498020"
"103","0.103","0.30458905"
"104","0.104","0.30628406"
"105","0.105","0.30364841"
"106","0.106","0.30511059"
"107","0.107","0.30355528"
"108","0.108","0.30505471"
"109","0.109","0.30383468"
"110","0.110","0.30376948"
"111","0.111","0.30593015"
"112","0.112","0.30453317"
"113","0.113","0.30331314"
"114","0.114","0.30530617"
"115","0.115","0.30411407"
"116","0.116","0.30469149"
"117","0.117","0.30462630"
"118","0.118","0.30486844"
"119","0.119","0.30448660"
"120","0.120","0.30436553"
"121","0.121","0.30500814"
"122","0.122","0.30316412"
"123","0.123","0.30480325"
"124","0.124","0.30403957"
"125","0.125","0.30523166"
"126","0.126","0.30493364"
"127","0.127","0.30446798"
"128","0.128","0.30412339"
"129","0.129","0.30381605"
"130","0.130","0.30291267"
"131","0.131","0.30347146"
"132","0.132","0.30356459"
"133","0.133","0.30484982"
"134","0.134","0.30345283"
"135","0.135","0.30473806"
"136","0.136","0.30554831"
"137","0.137","0.30380674"
"138","0.138","0.30423515"
"139","0.139","0.30424446"
"140","0.140","0.30444935"
"141","0.141","0.30309893"
"142","0.142","0.30402094"
"143","0.143","0.30566007"
"144","0.144","0.30562282"
"145","0.145","0.30402094"
"146","0.146","0.30432828"
"147","0.147","0.30536205"
"148","0.148","0.30525029"
"149","0.149","0.30420721"
"150","0.150","0.30490570"
"151","0.151","0.30448660"
"152","0.152","0.30468218"
"153","0.153","0.30294992"
"154","0.154","0.30322000"
"155","0.155","0.30490570"
"156","0.156","0.30399300"
"157","0.157","0.30457042"
"158","0.158","0.30402094"
"159","0.159","0.30375086"
"160","0.160","0.30620024"
"161","0.161","0.30674972"
"162","0.162","0.30421652"
"163","0.163","0.30453317"
"164","0.164","0.30462630"
"165","0.165","0.30510128"
"166","0.166","0.30430034"
"167","0.167","0.30204654"
"168","0.168","0.30373223"
"169","0.169","0.30349940"
"170","0.170","0.30193478"
"171","0.171","0.30391850"
"172","0.172","0.30452386"
"173","0.173","0.30458905"
"174","0.174","0.30371360"
"175","0.175","0.30483119"
"176","0.176","0.30396506"
"177","0.177","0.30314550"
"178","0.178","0.30590221"
"179","0.179","0.30414201"
"180","0.180","0.30516647"
"181","0.181","0.30427240"
"182","0.182","0.30371360"
"183","0.183","0.30483119"
"184","0.184","0.30393712"
"185","0.185","0.30592084"
"186","0.186","0.30560419"
"187","0.187","0.30346215"
"188","0.188","0.30212104"
"189","0.189","0.30411407"
"190","0.190","0.30359253"
"191","0.191","0.30352734"
"192","0.192","0.30404888"
"193","0.193","0.30455180"
"194","0.194","0.30563213"
"195","0.195","0.30346215"
"196","0.196","0.30356459"
"197","0.197","0.30279160"
"198","0.198","0.30329451"
"199","0.199","0.30514784"
"200","0.200","0.30552037"
"201","0.201","0.30538067"
"202","0.202","0.30387193"
"203","0.203","0.30415133"
"204","0.204","0.30395575"
"205","0.205","0.30572526"
"206","0.206","0.30268915"
"207","0.207","0.30349940"
"208","0.208","0.30371360"
"209","0.209","0.30313618"
"210","0.210","0.30417927"
"211","0.211","0.30270778"
"212","0.212","0.30545518"
"213","0.213","0.30480325"
"214","0.214","0.30450523"
"215","0.215","0.30586496"
"216","0.216","0.30532479"
"217","0.217","0.30471943"
"218","0.218","0.30421652"
"219","0.219","0.30633062"
"220","0.220","0.30431896"
"221","0.221","0.30508265"
"222","0.222","0.30428171"
